Date,ID,Coiled,Visual,Handedness,Covered,Temp(C),Hmidity
7/30/22,11,Y,Y,A,Y,34.6,62.4
8/1/22,11,Y,Y,A,Y,35.6,74.4
8/22/22,11,Y,Y,C,Y,32.3,77.3
8/25/22,11,Y,Y,C,N,27.7,91.9
9/4/22,11,Y,Y,C,Y,29,95
9/6/22,11,Y,Y,A,Y,30.1,86.4
9/8/22,11,Y,Y,C,Y,28.6,88.7
9/12/22,11,Y,Y,A,N,29.3,75.9
9/13/22,11,Y,Y,A,N,,
9/19/22,11,Y,Y,A,N,30.1,86.4
9/26/22,11,Y,Y,A,N,31.1,84.7
9/29/22,11,Y,Y,C,N,28.7,67.6
10/3/22,11,Y,Y,C,N,27,80.2
10/8/22,11,Y,Y,A,N,30.1,76.3
10/23/22,11,Y,Y,C,Y,32.3,64.4
11/1/22,11,Y,Y,C,Y,32.4,74.6
11/2/22,11,Y,Y,C,Y,30.8,94.6
11/5/22,11,Y,Y,A,Y,34,55.2
11/8/22,11,Y,Y,C,N,29.8,67.4
11/15/22,11,Y,Y,A,N,30.6,79.3
12/8/22,11,Y,Y,C,N,28.3,69.2
12/15/22,11,Y,Y,A,N,30.7,73.1
12/20/22,11,Y,Y,C,N,26.8,54.2
12/23/22,11,Y,Y,A,N,29.7,78.7
12/29/22,11,Y,Y,C,Y,27.7,78.3
1/9/23,11,Y,Y,A,N,27.7,70.5
1/14/23,11,Y,Y,A,Y,18.2,53.7
1/17/23,11,Y,Y,A,Y,26.8,56.1
1/25/23,11,Y,Y,A,N,26.1,80.3
1/30/23,11,Y,Y,C,Y,28,64.1
2/1/23,11,Y,Y,A,N,27.7,78.9
2/16/23,11,Y,Y,A,N,29.1,73.5
2/21/23,11,Y,Y,A,Y,27.7,69.5
2/28/23,11,Y,Y,A,Y,32.2,70.3
7/30/22,12,Y,Y,A,Y,34.9,78.7
8/3/22,12,N,Y,A,Y,31.8,76.2
8/7/22,12,Y,Y,A,Y,33.7,68.7
8/15/22,12,Y,Y,A,N,31,89.8
8/22/22,12,Y,Y,A,Y,34.5,73.4
8/27/22,12,Y,Y,A,Y,31.9,82.9
9/1/22,12,Y,Y,A,Y,33.4,79.6
9/4/22,12,Y,Y,A,Y,30,87.5
9/8/22,12,Y,Y,C,Y,28.8,89.3
9/12/22,12,Y,Y,A,Y,28.8,89.3
9/19/22,12,Y,Y,A,Y,30.8,77.3
9/20/22,12,Y,Y,A,Y,30.1,75.3
9/22/22,12,Y,Y,A,Y,27.2,92.1
9/26/22,12,Y,Y,C,Y,29.4,82.2
9/29/22,12,Y,Y,C,Y,29,80.6
10/3/22,12,Y,Y,A,Y,30.9,69.9
10/8/22,12,Y,Y,C,Y,27.3,65.6
10/11/22,12,Y,Y,C,Y,32.6,82.5
10/18/22,12,Y,Y,C,N,28.5,89.7
10/23/22,12,Y,Y,C,Y,34.4,65.2
7/30/22,15,Y,Y,C,Y,35.1,81.9
8/3/22,15,Y,Y,A,N,34.8,69.2
8/4/22,15,Y,Y,A,N,30,77.2
8/7/22,15,Y,Y,A,N,36.4,71.3
8/11/22,15,Y,Y,C,Y,33.2,88.4
9/6/22,15,Y,Y,C,N,33.6,78.5
9/8/22,15,Y,Y,C,Y,34.5,80.1
9/22/22,15,Y,Y,C,Y,28.6,87.1
9/29/22,15,Y,Y,A,Y,27.8,69.5
10/2/22,15,Y,Y,C,Y,30.8,49.6
10/5/22,15,Y,Y,A,Y,32.9,55.6
10/8/22,15,Y,Y,A,Y,30.8,68.4
10/21/22,15,Y,Y,C,N,20.7,55.3
11/8/22,15,Y,Y,C,N,27.4,75.2
11/11/22,15,Y,Y,C,N,29,92.3
11/22/22,15,Y,Y,A,Y,25.8,89.5
